iter	Passed	Remaining
877	4584	637
878	4587	631
879	4588	625
880	4590	620
881	4592	614
882	4594	608
883	4595	603
884	4598	597
885	4600	591
886	4602	586
887	4604	580
888	4606	575
889	4608	569
890	4612	564
891	4614	558
892	4616	553
893	4618	547
894	4620	542
895	4621	536
896	4623	530
897	4628	525
898	4629	520
899	4632	514
900	4634	509
901	4639	504
902	4641	498
903	4644	493
904	4646	487
905	4648	482
906	4650	476
907	4654	471
908	4656	466
909	4658	460
910	4660	455
911	4661	449
912	4663	444
913	4665	438
914	4669	433
915	4671	428
916	4673	423
917	4675	417
918	4676	412
919	4678	406
920	4680	401
921	4685	396
922	4687	391
923	4688	385
924	4690	380
925	4692	375
926	4694	369
927	4696	364
928	4701	359
929	4703	354
930	4705	348
931	4706	343
932	4708	338
933	4710	332
934	4715	327
935	4717	322
936	4719	317
937	4721	312
938	4723	306
939	4725	301
940	4730	296
941	4732	291
942	4734	286
943	4742	281
944	4747	276
945	4749	271
946	4751	265
947	4753	260
948	4755	255
949	4758	250
950	4761	245
951	4765	240
952	4768	235
953	4776	230
954	4779	225
955	4782	220
956	4790	215
957	4793	210
958	4796	205
959	4799	199
960	4803	194
961	4806	189
962	4810	184
963	4813	179
964	4815	174
965	4820	169
966	4822	164
967	4823	159
968	4825	154
969	4827	149
970	4829	144
971	4830	139
972	4832	134
973	4834	129
974	4836	124
975	4838	118
976	4839	113
977	4841	108
978	4845	103
979	4847	98
980	4852	93
981	4854	88
982	4856	83
983	4858	78
984	4862	74
985	4865	69
986	4867	64
987	4869	59
988	4870	54
989	4872	49
990	4876	44
991	4878	39
992	4880	34
993	4882	29
994	4883	24
995	4885	19
996	4887	14
997	4891	9
998	4894	4
999	4897	0
